Idx,A1S,A1E,A2S,A2E,A3S,A3E,A4S,A4E,A5S,A5E,A6S,A6E
266,612697950,1223494974,1174838251,1367808703,1435869658,1516604338,1327394359,1521820835,55670,67574,5186,29324
267,1171047221,1364775879,998899460,1455215880,1381685671,1532679099,1396546380,1466098810,6845,53996,6674,18446
268,833547905,1094776426,429127601,1113352765,1200467530,1422443485,1200546073,1348498627,58001,79941,1661,39983
269,724221116,1573502753,120937459,1332189289,1064693453,1469280657,1403037988,1503471670,7703,54338,7709,53969
270,1277154010,1794675910,622778362,1836308082,1084948019,1473331567,1227334681,1433190346,48316,70582,3986,40913
271,1179446972,1371495680,606943148,1220042094,1162240265,1488790017,1432549576,1487700728,62434,67033,6346,30020
272,467029659,1136093999,775788574,1594129735,1428821786,1485464054,1362914512,1528924868,30915,74527,8073,31057
273,1237227225,1778705196,998120257,1683062410,1179300190,1492202002,1408631768,1440990906,65301,81401,437,52513
274,204628776,1752678164,453722266,1128109564,1478476673,1496866830,1202606049,1496863173,39699,76283,2844,15382
275,699909469,1563778093,515423506,1165130308,1427174355,1484475595,1461293079,1548600579,24806,73302,1520,27126
276,1270928382,1792185660,1199087026,1951569814,1267000863,1509742139,1225529589,1432468308,33645,75073,737,26655
277,1275692147,1621291493,1211214795,1396909938,1098374819,1476016927,1237480008,1503837968,12701,70881,7822,53990
278,492061788,1151113278,398057690,1791363946,1210558157,1498453597,1451648994,1499160378,1186,68578,6189,18058
279,1335607299,1496423941,912950972,1648994696,1368076477,1489487065,1349093503,1437627085,41521,67864,266,26372
280,1363927412,1984537892,791969804,1870146368,1319533435,1520248651,1496286545,1540771091,701,17646,5360,17395
281,1166017443,1555486671,266914209,1390579989,1241032288,1438669390,1276924777,1394325849,45769,77497,3090,40557
282,619743943,1835701199,836827236,1097399891,1007485458,1457839058,1186181911,1493578347,62873,76406,94,26270
283,944806011,1183782911,826029334,1088761569,1286696293,1456934992,1200565069,1348510023,60210,75342,4635,28995
284,1174797338,1367775973,238064242,1379040004,1324921044,1423123608,1310242375,1466353423,8601,39331,7611,53947
285,140808546,1340137725,155711444,1346098883,1408756039,1538093171,1352295787,1483174789,1957,35345,6129,53653
286,513701692,1164097220,445365245,1800825457,1272305803,1510803127,1478609886,1515336914,64092,72626,9391,31847
287,461039737,1132500047,153204495,1345096104,1355185888,1527379144,1401481012,1536638168,33847,75111,3873,28537
288,398498303,1094975187,443597102,1800471830,1357569388,1527855844,1344682843,1525278535,61441,75832,4261,16515
289,669411147,1845634639,1271796735,1792533000,1215318919,1428384040,1259694243,1446134172,61430,80630,5478,29500
290,96492006,1731050810,136273857,1338323850,1103483103,1477038587,1245613705,1440501955,851,51596,9634,54354
291,890583622,1390226378,526199166,1171595704,1435134427,1516310245,1435948015,1516635679,15131,71367,737,26655
292,447079741,1124124049,349249855,1781602379,1450910261,1546524017,1478223318,1551986630,10693,70481,6233,41813
293,1087862647,1508593793,957989000,1194329302,1249938340,1506329632,1482479655,1552837895,18504,72044,3242,53074
294,527786794,1172548280,50933529,1304187717,1394202677,1535182501,1463463717,1527641961,30980,74540,9957,54417
295,482314084,1145264654,49356675,1721623743,1440920525,1518624683,1287796723,1513901311,60974,80538,1170,26916
296,1002151052,1229658944,1159206496,1747496905,1362641912,1487313239,1443572017,1494314193,55202,73337,8373,54101
297,1198127626,1386440203,834706297,1878693669,1229310691,1433980750,1274398190,1452015749,47117,77765,6766,53778
298,354080349,1782568477,801251885,1336627335,1359851513,1444081891,1367800970,1448851564,2733,35811,3587,28365
299,918129340,1406753808,1274137174,1966579842,1277227726,1453147564,1207192223,1497780411,58785,80101,7732,42412
300,1269811268,1443787117,1192331415,1571275053,1067928154,1469927594,1218655430,1429718645,33141,74969,6529,18330
301,462719521,1468902115,845917045,1104671738,1157595795,1487861123,1327495815,1521841127,31231,74587,544,26540
302,646937103,1542589149,402873080,1097600052,1143435249,1485029013,1344734100,1525288784,47953,70438,4132,53252
303,1305422150,1472275822,203493828,1365211839,1336925475,1477026663,1385310555,1533404075,10112,55301,5782,29682
304,277953619,1394995753,813110384,1343742434,1342242116,1524790388,1280236772,1512389320,14593,42927,55,26247
305,500564080,1156214652,13907433,1289377281,1444683318,1494980974,1472376488,1491986682,63466,67858,7485,19095
306,1124431257,1936638661,960566556,1196391347,1416362109,1539614385,1426797962,1512975659,41249,67757,8525,31329
307,455590747,1129230653,4340507,1285550510,1184008462,1493143658,1394137772,1535169520,59935,75232,3330,53094
308,1254798534,1608755324,849549624,1365605978,1130841414,1482510246,1303761504,1463761074,10674,40576,1571,39947
309,834609497,1617658106,806589782,1339830074,1286163750,1456721973,1319109800,1419636862,5702,53537,5110,41365
310,818038785,1611029820,640646317,1540072834,1189575091,1418086510,1272897893,1451415632,58494,74655,3498,15905
311,960090903,1903770591,150681704,1344086987,1391147476,1427003472,1248442027,1441633285,8935,39533,9766,32072
312,904779614,1398743972,805349526,1339085920,1348751619,1437421953,1292673683,1514876703,7291,38545,5802,53586
313,847718712,1622901792,523735048,1170117234,1449350980,1546212160,1465903310,1528617797,40067,76355,9475,43111
314,390068911,1089917551,708102078,1567055139,1252924510,1443426277,1194145502,1495171066,61241,80589,5163,17237
315,1123033553,1936359121,841281062,1360644842,988749700,1454091904,1257122316,1445105400,6478,53848,5834,53594
316,971886153,1439007897,1178894898,1563213144,1403978868,1503848022,1331690253,1474932576,36521,75645,2736,52972
317,377398777,1787232165,1150258399,1546031243,1205570701,1424484754,1281093125,1454693723,39889,76321,4552,16748
318,1109573778,1521620472,638554394,1839463286,1511866251,1558715215,1467436529,1549829269,1915,52024,7062,30450
319,160698566,1348093733,413743548,1104122334,1276206926,1511583350,1283531228,1513048212,64304,68529,1679,14450
320,727352025,1574755116,1227166771,1409671519,1388416592,1424818765,1280596744,1512461312,46654,77674,7679,53963
321,148564503,1343240109,841110891,1620258663,1398995901,1536141145,1399106510,1501899077,4646,53114,5415,29463
322,841729914,1360914152,810730593,1076522577,1258915647,1508125095,1267975072,1509936980,2274,68798,2384,15014
323,430078985,1455845900,457100121,1130136277,1473397867,1551021539,1425781748,1483640032,1910,68726,6056,29846
324,1064420012,1709582312,265228456,1389905689,1309754766,1466158380,1394547382,1464899412,39680,76280,96,26270
325,485033644,1146896390,607424508,1220330910,1426031830,1483790080,1471937410,1531031437,64306,68530,278,26380
326,425368332,1796826076,519388690,1167509418,1431871280,1542716220,1353965012,1483842479,60112,75301,2822,15364
327,838912346,1099067979,1021418413,1916036093,963320418,1449006050,1185304876,1339353908,45274,69367,6382,53702
328,799752610,1335727770,163967943,1744545999,1231591088,1434892910,1287409048,1457220094,11474,41056,3489,15898
329,564480314,1509606431,1381061523,1684513119,1200092616,1496360488,1507417362,1545223419,4403,20608,113,13197
330,414700585,1104696555,22061070,1292638734,1348008491,1525943663,1306109818,1517563930,22825,72909,7925,30969
331,400567081,1096216453,124522191,1736656847,1033320732,1463006112,1202678055,1276227935,14991,71339,5544,17542
332,176221907,1354303070,524241964,1170421382,1379449913,1494036440,1461630620,1505149354,62129,76109,8532,54132
333,1182676157,1565481899,769532222,1865658854,1412469953,1507244456,1276518988,1394082376,19094,72162,2781,27881
334,1069891512,1925730712,946311158,1184987029,1397785319,1501370600,1417762778,1539894522,13267,70995,1082,13972
335,684410829,1848634573,1280067063,1623916443,1306321496,1464785072,1252486403,1443251036,57549,68701,9790,20939
336,1186471145,1377115018,62705505,1308896508,1127371034,1481816170,1279280762,1512198118,13392,71020,3265,28173
337,1057730315,1923298471,1221229145,1404921418,1405101649,1438166810,1308930335,1465828607,17339,71811,200,26334
338,92328221,1320745595,845368428,1104232845,1364552235,1529252411,1293899531,1515121871,64680,68830,2504,52928
339,973075756,1906367560,1373111244,1833058803,1433172568,1488074524,1380065983,1456210573,14910,71326,319,52491
340,387083214,1789169050,1015580568,1465224546,1182971247,1415444973,1272390154,1510819994,56736,79688,7110,42165
341,154475721,1345604595,1062219063,1924196223,1193738377,1419751825,1225465301,1501435025,10195,55336,3345,40659
342,1165653931,1360461247,902883433,1644967681,943132344,1444968432,1406772548,1472234512,10735,55552,4996,53424
343,496240104,1482310347,820107540,1611857322,1395713887,1430656601,1534767627,1541899593,4939,21037,2,39320
344,596029934,1830958394,500167403,1155976647,1481147740,1499003683,1361352030,1528612370,42774,68367,411,26459
345,860335481,1627948499,1278732499,1967498907,1313016868,1467463222,1203297606,1423575516,35225,75389,9010,42925
346,444390805,1122510687,117129139,1735178235,1470738276,1510613948,1371081770,1490689181,49186,78178,3076,28058
347,71682326,1726088874,286736682,1769099746,1530101012,1562362168,1557883697,1567918705,7659,38767,1133,26893
348,381388451,1084709275,907527831,1646825439,953268352,1446995636,1350230144,1526387992,8698,70082,92,52444
349,407949118,1100645676,987302056,1678735129,1302492732,1516840512,1201402506,1422817476,62400,71612,890,52606
350,455423970,1129130586,105702941,1326095483,1451738325,1546689629,1191856326,1494713230,51956,78732,3778,16129
351,1189485036,1949649416,1115901258,1730174811,1007115943,1457765155,1366989953,1448364955,23206,72982,9350,20587
352,1088698056,1719293529,1243631685,1781266980,940373756,1444416716,1280330846,1454388812,50018,78346,4501,28913
353,1269208296,1443304739,927153756,1654675809,1038049567,1463951879,1284928582,1456227907,55756,79492,9392,20620
354,1059425391,1491531439,552547857,1187404919,1140492789,1484440521,1438989478,1517852266,65211,81383,3478,53122
355,519515433,1167585465,74200338,1313494443,1480111987,1552364363,1189981203,1494338207,39883,76319,2615,27783
356,1276241293,1448931137,879759418,1887704294,1399485461,1536239057,1227235605,1433150715,17606,71862,2643,27799
357,792786832,1600929040,1187628831,1949278175,1357080455,1485088655,1385554023,1459503397,33078,74958,3353,40661
358,729974721,1293861037,828398984,1090657289,1411588476,1443356272,1195979328,1495537832,42950,76934,1380,27042
359,152859061,1344957931,478861744,1807524756,1311458928,1415046340,1291296401,1514601245,11960,41348,3314,40646
360,519920479,1491782497,1263681057,1964488621,1411900871,1443606188,1424005669,1511858740,23069,72957,559,39544
361,699020109,1275288269,527979336,1172663806,1448752760,1497422638,1189122191,1494166403,65176,69226,8733,31453
362,1188959064,1569251642,1161774084,1552940654,1354721838,1484145210,1348637081,1481711306,57009,74061,2810,52990
363,1065324968,1495071186,1002712225,1684899196,1379648026,1532271570,1385855683,1533513103,63398,67804,594,594
364,471974178,1472603979,133499922,1337214276,1025302053,1461402377,1353982389,1483849428,9035,39593,6376,41869
365,506971105,1160058867,754602727,1585655398,1181035086,1492548982,1464698243,1528135772,54850,73198,9224,43010
366,12832206,1714318850,1187864873,1758960257,1385857517,1533513469,1294684310,1460130197,65203,77338,9112,54248
367,901350744,1396686650,791350779,1061018725,1220844916,1500510948,1187273611,1493796687,60548,70500,1295,14143
368,512885472,1163607488,449527180,1125592512,1402455248,1536833016,1412991427,1507453045,45048,77352,6408,53708
369,345091657,1780770741,817609247,1082025500,1403193730,1503533965,1378630792,1532068124,10028,70348,4362,53298
370,1053149743,1922382359,1168696549,1362895341,1201354314,1422798198,1357788794,1485371990,7312,22935,6816,18559
371,492649505,1151465907,834855000,1878723408,1388085842,1497490811,1468393494,1488800286,61929,80729,3217,53069
372,835290850,1096170782,570962415,1825944891,1242046179,1504751199,1389924645,1498226331,5137,69369,4759,16914
373,146168894,1342281863,840978771,1879948163,1401793802,1536700726,1399131981,1467650171,802,68502,6870,42069
374,380289452,1084049876,589623834,1829677174,1413023745,1538946713,1204464364,1424042218,62438,76232,902,26754
375,444964502,1461800108,1383360338,1685892408,949174023,1446176771,1417751731,1509357166,61798,80702,514,52530
376,726437034,1857039814,1287355366,1969223482,1346105519,1525563067,1275026426,1452267044,16483,71639,9167,54259
377,490033861,1149896521,860014711,1883755351,1358341801,1485593194,1468717506,1509401486,64666,68818,8685,42795
378,1270453714,1965843150,443920135,1800536435,1247290777,1441172785,1185323986,1416386068,51126,71706,4808,41243
379,459058937,1131311567,774532639,1320595787,1364853289,1488197788,1414762851,1539294535,32915,74927,3480,28302
380,1133465802,1535955686,619953256,1227848158,1163640766,1489070118,1471305759,1510954437,39861,67200,2796,27890
381,389579213,1089623733,332752139,1416915161,939441712,1444230308,1196486706,1271274856,61898,76016,2641,40375
382,1193403290,1571918178,1226553135,1409180610,1194957166,1420239340,1279448638,1454035930,65477,73457,4654,29006
383,1192077890,1571122938,1390141093,1689960861,1353416895,1440221119,1508506809,1545659196,2418,52224,74,39350
384,1075067977,1713841498,955122279,1192035925,1385236506,1496351076,1463228485,1484668279,61928,66628,8539,31337
385,1269448384,1791593659,638052940,1839362996,1309174258,1518176818,1238857453,1437799456,62639,67197,1385,14215
386,399630326,1095654400,472291025,1472730716,1349836376,1438072808,1203482386,1497038442,53404,66214,5183,41393
387,304369540,1772626316,846439259,1105089509,1277904754,1511922914,1236308187,1503603603,55250,67322,4766,53378
388,794379049,1332503633,471649504,1472474107,1017861033,1459914173,1301268542,1516595674,642,51513,9827,32109
389,625204155,1230998697,1170375064,1364238153,1391220576,1534586080,1430382925,1514409643,22597,72861,5179,53463
390,1017424866,1690784253,543416078,1501180739,1181490525,1414852683,1277519149,1453264132,48587,70691,3506,28316
391,1380975448,1532718461,1049804934,1703736279,1253848966,1443796060,1524976580,1561337280,6965,22658,52,13148
392,327197438,1777191898,1378916362,1683226022,1428253832,1485123282,1400152093,1434207166,60871,80515,354,13390
393,1079863321,1715759635,1278679845,1967488377,1216952356,1429037416,1251717543,1442943492,65354,77399,1741,14499
394,156837186,1346549181,794824263,1332770763,1091952676,1474732500,1395913989,1430816682,4130,69170,2496,15103
395,604523582,1218590354,1130054347,1937763279,1425903411,1512617838,1474413623,1493616390,9893,70321,9132,31692
396,1278541446,1623001072,1215638891,1400449215,1337178828,1430478280,1242098330,1504761630,60748,80492,4464,28892
397,139593837,1339651842,754230563,1585506533,1198543901,1496050745,1404643636,1504113928,1472,35054,2208,40203
398,189691074,1749690622,1234292364,1415371993,1050698447,1466481655,1282715678,1455342746,55785,73572,4037,16336
399,7751971,1713302803,1276602970,1449220478,1318967401,1469843434,1284510806,1513244126,62506,67090,9225,43011
400,1287102387,1457620012,499946213,1483792793,1410483124,1474460856,1251479076,1506637780,62038,71394,8358,31228
401,1283367535,1968425915,947189626,1424189980,1365988253,1447763935,1212646313,1498871229,31713,74685,9205,54269
402,658018675,1843356143,446337301,1123678585,1245291710,1505400306,1424597416,1541261448,62064,71410,3323,53091
403,519517907,1491621470,1280296740,1452175494,1228974863,1433846420,1223902864,1431817618,58150,74518,540,52536
404,447673463,1124480283,66133149,1310267565,1257672767,1507876519,1454798842,1547301734,63207,72095,8584,42754
405,832633352,1094044784,419569567,1795666323,1331130264,1426849140,1200613927,1274576633,52351,72196,1571,39947
406,778562174,1867464842,1165530811,1360362751,1315341609,1417375947,1235376044,1503417172,12546,27122,4329,53293
407,370775211,1078341331,677817515,970192114,1472922207,1511924307,1247286649,1311914810,2293,35547,634,13614
408,126936526,1334588917,141725933,1740097597,981613156,1452664596,1210717389,1426543428,11625,41147,1129,39772
409,1258397366,1610914624,1173510337,1366746372,1015925239,1459527011,1399000475,1536142059,9536,39892,9510,43125
410,136789804,1338530227,462337553,1133278737,1481990182,1535052547,1372381422,1530818250,60629,80469,2205,27537
411,82237509,1728199909,1285558349,1456384781,953348003,1447011567,1192444484,1494830860,64915,81327,3022,15524
412,1166598018,1361216517,1141886934,1740569079,1263758767,1447759981,1201909963,1496723959,9950,40142,7587,42354
413,493279908,1810408392,1237328603,1598273367,1386923053,1533726577,1503505726,1557043110,525,34487,3698,40799
414,362486443,1073368071,228710625,1375298556,1290148187,1514371603,1194086453,1495159257,37267,66163,4565,16759
415,803233237,1605107602,1040004282,1479878774,1358919160,1528125796,1406705074,1439449550,30046,74350,312,13356
416,957212248,1666699207,1214408090,1584521058,1395570020,1465512994,1285761773,1513494321,42471,68244,2092,52844
417,449238690,1125419418,570619120,1512061954,1448349812,1546011928,1322532233,1520848413,53621,66343,428,52512
418,785562111,1056387791,282872178,1396963179,1197214232,1495784812,1192706818,1494883330,3407,69023,1808,27298
419,812523886,1343390536,824861869,1350793325,1410791130,1474645660,1373865688,1452490396,10576,25546,4810,16955
420,1175612119,1368427797,1272009236,1445545491,1112706105,1478883185,1197297129,1495801389,48073,70486,2898,15425
421,119529922,1331626276,1008450504,1687194507,1227063514,1433081878,1349820366,1482184620,11993,41367,6351,41859
422,827071283,1089595129,974363379,1440494231,960704469,1448482857,1197436301,1346632763,57144,74115,4868,17001
423,40639871,1719880383,1286265790,1456950734,1336665687,1523675103,1286754813,1456958400,58456,69244,7211,18875
424,142633329,1340867637,695096589,1850771725,1040634124,1464468788,1378463656,1455249176,2842,35876,3166,53058
425,1273596845,1966471777,963175721,1669084595,1380571520,1494485081,1192485519,1419250680,38613,76065,9144,20422
426,608901950,1833532798,1201361032,1389026928,1238248236,1437555768,1355097518,1441229494,34336,75208,488,26506
427,543398808,1181915490,1026458555,1694397728,1278098030,1511961570,1450834395,1546508843,25140,73372,8466,31292
428,1153041541,1942360717,1181255964,1948003600,1380046700,1494275153,1371504781,1451073851,64671,68822,5178,41391
429,1023371149,1246635021,1147681262,1544484962,1466969788,1549735924,1435778374,1489638006,62970,76446,3901,40879
430,952224692,1189717856,1094589387,1303609612,1456549368,1524876222,1333923458,1523126658,11126,70566,4323,28807
431,598091578,1831370726,802671837,1337479307,1188835100,1494108984,1301816857,1516705337,4797,20923,3081,40551
432,389831233,1439746801,524999779,1170876071,1452181009,1546778165,1353152690,1526972502,41296,76600,3349,53097
433,411781553,1448526929,501861101,1156992865,1383003317,1532942629,1397873234,1535916610,57663,74322,4408,41083
434,508244403,1160822847,460356887,1467957062,1425364421,1512402242,1409977118,1538337390,40038,67272,8293,54085
435,1166258128,1360944605,879517242,1383586550,1135416745,1483425313,1319016614,1419580950,2020,18702,7801,19347
436,192609411,1360858071,1303474298,1805204027,1041306241,1464603213,1376669232,1415420877,6948,38340,6734,18494
437,544883423,1820729095,467187137,1136188487,1455209804,1547383924,1328366276,1522015220,13131,70967,1937,40094
438,201607804,1752073968,281917943,1396581485,1408774281,1473435551,1404496339,1504055008,55542,79450,229,52473
439,467397834,1136314904,45666215,1720885651,1310381451,1518418255,1394393608,1535220688,56499,68071,5804,29696
440,680264187,1555919982,466766638,1135936188,1413363681,1539014701,1448728836,1497408284,62417,80825,7916,30962
441,221726116,1372504753,799186510,1335388110,948347734,1446011510,1365415802,1447420464,5341,53392,8562,19956
442,868784931,1377147163,1209389809,1953630369,954315670,1447205098,1270171854,1450325214,64800,73052,9379,54303
443,249847209,1383753189,445927782,1123432874,1479655850,1497810171,1289539368,1514249840,39975,67248,9230,43013
444,960875954,1668164687,1141763827,1940105175,1507121598,1519782770,1319487516,1520239468,2412,68824,7758,53978
445,519847688,1491753383,408520904,1100988746,1215514506,1499444866,1299576645,1516257293,63828,68148,6682,53762
446,20911500,1715934708,1199378280,1387440726,1383807998,1458455782,1410461262,1442454501,14558,71254,243,39417
447,40404541,1719833317,817661919,1346473355,1381027357,1418907377,1392013620,1499061921,7976,38956,1768,14521
448,867524250,1885257258,804259062,1872604222,1362331197,1528808205,1491247041,1522919207,2292,35546,2149,52857
449,848290902,1881410590,149511975,1343619096,1392958390,1428452203,1405847282,1438763317,6311,22134,10034,43334
450,463578383,1469245661,461069439,1132517867,1372699042,1530881774,1395597475,1500495463,54647,79271,9424,54312
451,477247303,1142224587,863138967,1373759585,1436569659,1490112777,1332214662,1522784898,33537,75049,6920,42089
452,479061429,1143313061,751103923,1861973195,1447513768,1496679244,1449731293,1522148992,37207,66139,4001,53225
453,978616542,1443046130,384948299,1086845183,1158440321,1488030029,1191059612,1266933181,7063,69755,480,26502
454,588699055,1209095637,1153964627,1351109804,1437783682,1490841192,1306893362,1517720638,58968,74844,4341,28817
455,1047603697,1484438423,1181614618,1948075334,1359083024,1528158568,1327354644,1473198330,60333,70371,4693,41197
456,890756542,1390330130,389507121,1789653833,1004230594,1457188082,1425131688,1454190842,55953,73638,297,39438
457,483809679,1146162011,518980893,1167264741,1478633409,1515351027,1290525728,1514447112,40833,67590,2889,40476
458,1286385525,1798368516,953297415,1427854653,1309791362,1466173019,1187646547,1493871275,54636,79268,3198,28132
459,1353177059,1510479749,237180129,1759188433,1370770504,1530496064,1251487483,1442851468,50593,78461,395,39479
460,629582210,1535647190,921216939,1408606367,1387155665,1423810023,1276957658,1453039538,64763,73029,2998,28012
461,1183378380,1948428084,1080919098,1927936230,1054118767,1467165719,1373575278,1491686586,57496,68668,8955,20271
462,955173845,1192077178,1124643920,1936681192,1423081299,1511488992,1441077665,1492817581,45469,69445,1241,52673
463,452180525,1127184519,102185712,1732189552,1178577151,1492057395,1434409286,1488816554,51895,78723,7896,54004
464,791066758,1869965762,86423711,1729037151,1380600696,1418566048,1278143492,1511970664,51429,71829,222,13284
465,1046374970,1483701186,988630856,1909478580,1418479159,1509648136,1408235259,1440673698,39202,66937,424,52512
466,1145808532,1940914116,973070192,1206394256,1337788747,1523899715,1471439671,1511034785,16974,71738,6879,53803
467,1000013245,1455884151,139486746,1339609005,1383085016,1495490480,1339558995,1478080071,5342,37376,6892,30348
468,1352769644,1982306336,55967519,1722945911,1488169777,1553975921,1506778006,1532237786,1147,51715,2370,52902
469,1181368564,1948026120,1218286458,1402567269,1405601158,1471531678,1270163051,1450321694,60963,65856,9980,32202
470,308408305,1773434069,397847859,1094584919,1141256599,1484593283,1195147298,1345259362,31890,74722,3504,28316
471,478695918,1143093756,734296541,1858611717,1213010856,1498944136,1444475581,1494856331,15164,71376,2975,40511
472,481188134,1144589084,887007622,1388080778,1192880757,1494918117,1443795374,1519774622,34655,75275,1360,39865
473,445225020,1123011216,640514436,1240184866,1441419498,1518824274,1197761634,1495894290,60254,80394,5858,41663
474,967386341,1436308009,1280178516,1452080915,1189358185,1417999747,1237905291,1437418590,61168,75724,6037,41734
475,1159540535,1747630520,597592358,1214431620,1469623524,1509945096,1365019800,1488264393,35561,75453,7174,42190
476,34517464,1718655900,513034553,1163696937,1474570233,1532084568,1403953468,1537132660,64209,68453,7843,19381
477,1186535159,1758428369,1071191987,1925990807,949285179,1446198999,1286607113,1456899320,57714,68800,1917,14640
478,749112640,1583459362,1279463628,1967645136,1220813955,1430582055,1271398761,1510621717,14069,42613,111,52447
479,1269838116,1617779074,531198722,1496293796,935630112,1443467988,1266910065,1509723977,51088,78560,6412,41884
480,376563398,1787065090,392829624,1091573978,1239980975,1504338159,1193146707,1268602857,54344,72995,4248,41019
481,451725948,1126911774,157690135,1743290435,1134580565,1483258077,1443426733,1519627168,37949,75933,600,39561
482,809667895,1341676941,133575592,1738467528,1303910463,1463820660,1374585283,1452922153,721,17662,4016,28622
483,515328461,1165073281,159659459,1347678089,1223867252,1501115416,1420432979,1510429664,60549,75477,4253,28765
484,1104517947,1725621486,884213582,1637499740,1384571383,1421742598,1276015640,1511545092,21753,72693,7022,30426
485,476534425,1141796859,404353127,1445555558,1159251524,1488192268,1478406802,1533619195,64514,77063,2435,27675
486,256917744,1386581403,1354648754,1511657105,1109281214,1478198206,1420353020,1540412568,47453,70238,530,39533
487,1180754020,1947903212,1209424009,1953637209,1457071834,1525085206,1486445261,1536834578,2761,68893,6572,53740
488,693711631,1561298959,522576656,1169422198,1433959619,1515840320,1356475497,1527637065,37420,66226,5458,41503
489,475173129,1140980081,381494561,1788051321,1460583355,1526489815,1403294629,1537000889,49337,70991,4040,28638
490,716453677,1285748411,450444275,1126142769,1454438213,1500833911,1436511895,1543644343,5631,69467,7213,53869
491,609574699,1221621023,198519156,974987698,1479339147,1533992133,1205442504,1351436484,3093,52494,222,26346
492,895149367,1641874054,1165041930,1359971646,1322942876,1421936708,1229587219,1434091360,8727,54747,3438,15857
493,1172241485,1365731290,181344350,1748021278,1116653712,1479672708,1314262183,1467961348,10983,25872,1412,14236
494,660495383,1252173435,1160303916,1356181235,1233383623,1503018691,1441535130,1493092060,51200,71738,8954,42902
495,1320492166,1812011173,843855399,1621356465,1042566929,1464855349,1230161506,1434321076,15909,71525,498,13505
496,465457721,1135150837,472014246,1806155258,1341009630,1524543890,1467723128,1549886592,64604,81264,3477,53121
497,292008116,1400617553,1239114582,1959575326,1264183166,1447929740,1280936442,1512529254,61171,70873,727,26649
498,1181535874,1948059582,930747912,1656113472,994660502,1455274066,1365689521,1447584695,54860,73202,5977,41710
499,364407499,1429577305,1086377044,1929027816,1282993112,1455453719,1257131769,1382450043,17403,44613,97,26271
500,311956570,1408596934,493302101,1151857465,1398771141,1501764930,1402956166,1536933198,44465,77237,5470,41509
501,1183508970,1565981586,242165459,1760185499,1336543577,1523650681,1313339572,1467592303,46830,77710,8219,54071
502,1379976253,1531919105,626203261,1534295611,1135448749,1483431713,1351126419,1438846833,49118,78166,462,52518
503,1280139293,1967780269,1196723099,1762503545,936954473,1443732861,1193498672,1495041700,47005,70060,7095,30471
504,1061773442,1492940270,135373674,1337963775,1345419099,1480424112,1334668532,1476123887,1422,35024,3708,53168
505,563560376,1824464484,147020257,1342622410,1111744262,1478690818,1402575574,1503286702,197,68381,5766,17719
506,138767821,1739505973,1276154641,1448861815,1241568875,1438884023,1275830086,1452588508,15937,71529,8413,31261
507,680162296,1263973582,846381200,1105043062,1250152605,1506372485,1312953740,1518932712,36809,75705,2675,27819
508,490043350,1149902214,452715424,1464900475,1219424444,1500226852,1455028154,1547347594,22839,72911,9284,43034
509,436096026,1798971614,1185160554,1566972536,1103155652,1476973096,1386790698,1460245402,40208,76384,5446,41497
510,1215253777,1954803165,368378713,1785428153,1181697977,1414935665,1278606205,1453698955,55560,79456,1211,52667
511,807221910,1340209350,374612447,1786674899,1061690278,1468680022,1354783164,1441040880,5113,37239,3777,53181
512,1035294486,1697932101,1179957400,1947743888,1072125213,1470767009,1370023593,1490265912,64905,77220,1896,40077
513,774066086,1866565626,1304518671,1471553039,1386448700,1533631704,1255924959,1444626456,54198,72936,138,26296
514,1269139663,1443249833,547305854,1821213578,1312072129,1518756389,1191964251,1419042174,56124,79568,7230,42213
515,406165668,1446280575,392869836,1091598106,1058206642,1467983294,1195110036,1270173520,59515,80247,5333,29413
516,27278508,1717208112,1390471497,1989846709,1507228648,1532508172,1328278160,1521997596,2003,68743,1711,52767
517,841782446,1101364059,762872615,1864326931,1400411071,1434414348,1188219006,1264660696,57731,74348,8578,31360
518,812122435,1874176895,485667758,1147276860,1474849136,1551311792,1448845853,1521794816,53395,72616,9569,43148
519,848292395,1364851641,1294025224,1463158281,1020772909,1460496545,1193965886,1495135142,12581,27150,1313,27001
520,319815089,1411740341,812131775,1343155269,1395420884,1430422198,1327991131,1521940191,8353,23768,3295,28191
521,1101563711,1724439791,605349763,1832822363,1378531000,1532048164,1422692343,1481786389,63789,81101,771,26675
522,793368347,1331897213,361616517,1428460914,1181454966,1414838460,1331248715,1522591707,5295,53376,7582,30762
523,1276121847,1621549313,1223089266,1956370262,1103511194,1477044202,1215455717,1428438761,31317,74605,5825,41651
524,1181226956,1564612378,655175166,1545884373,1161181607,1488578287,1381068927,1456812339,13746,71090,7732,30852
525,475027328,1140892602,570438021,1511989515,1235908207,1503523607,1412134731,1507110366,40242,67353,4881,41271
526,196734713,1362508193,468290191,1136850319,1326734709,1521688905,1407573047,1505285693,50187,71331,7889,54005
527,1071042625,1498501779,1339453276,1499500723,1382969527,1532935871,1248918925,1441824043,24433,73229,520,39529
528,1024011102,1693418748,1181875732,1948127556,1332184469,1475130260,1348191995,1525980363,55867,73603,1072,52640
529,739294677,1579532178,139361814,1339559031,1316563234,1418108922,1377766669,1531895297,1549,18325,1202,14068
530,285623457,1768877101,810726123,1342311879,1338594944,1431327948,1338026083,1523947183,2006,52058,2236,40213
531,270543808,1765861172,1165891588,1360651373,1320134752,1520368916,1404231643,1437470806,6405,69625,630,13611
